Keyword,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016
commercial airline,170,260,210,170,140,390,210,260,390,260,260,260,260,390,260,320,480,590,590,720,590,590,480,590
commercial banks,1900,2400,2400,1900,880,720,720,1900,2400,1900,1900,1600,2400,2400,2400,1600,880,880,720,2400,2400,2400,1900,1600
commercial fishing,1600,1600,1600,1900,1000,880,880,1300,1300,1300,1300,1300,1300,1600,1900,1900,1300,1000,1000,1300,1600,1600,1300,1600
commercial food servcies,,,,,,,,,,,,,,,,,,,,,,,,
commercial leasing,390,390,390,390,390,390,320,320,390,320,390,390,480,480,480,390,480,390,390,480,590,590,590,590
commercial loans,2400,2900,2400,2400,2400,2400,2400,2400,2900,2400,1900,1900,1900,2400,2400,1900,1900,1900,2400,1900,2400,1900,1600,2400
commercial real estate,49500,49500,49500,49500,49500,49500,49500,60500,60500,60500,60500,74000,60500,74000,49500,49500,49500,49500,49500,40500,60500,60500,60500,74000
commercial reits,30,40,40,40,70,20,50,40,30,50,20,20,40,50,40,40,40,50,40,40,50,30,40,50
communications,9900,12100,9900,9900,9900,9900,9900,12100,12100,12100,9900,12100,9900,12100,12100,9900,9900,9900,12100,12100,12100,12100,9900,12100
compliance,49500,49500,49500,49500,40500,40500,40500,49500,60500,49500,49500,74000,49500,60500,60500,49500,40500,49500,49500,49500,60500,49500,49500,49500
component assembly,50,40,40,70,70,40,50,50,50,30,50,30,40,50,70,50,40,70,50,50,70,40,30,30
compressed gas,390,480,390,480,390,390,480,590,480,480,590,590,590,590,480,480,480,590,590,720,720,590,590,590
computer hardware,8100,8100,8100,6600,5400,5400,9900,12100,9900,8100,6600,9900,8100,8100,6600,6600,6600,5400,9900,12100,8100,6600,6600,8100
computer programming,18100,18100,14800,14800,12100,12100,14800,18100,14800,14800,14800,18100,14800,18100,18100,18100,14800,14800,18100,18100,18100,14800,14800,18100
computer software,6600,6600,6600,5400,5400,5400,6600,8100,6600,5400,5400,6600,6600,6600,6600,6600,5400,5400,6600,8100,6600,5400,5400,6600
computer training,1600,1900,1600,1900,1600,1600,1600,1600,1900,1600,1300,1900,1600,1600,1600,1300,1300,1300,1600,1600,1600,1300,1300,1600
