Keyword,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016,Searches: Feb 2016
pest control,40500,49500,60500,60500,74000,74000,74000,60500,49500,40500,49500,49500,60500,74000,74000,90500,90500,90500,74000,74000,60500,49500,49500,60500
advertising,40500,40500,33100,27100,27100,27100,40500,40500,40500,33100,40500,40500,40500,40500,33100,27100,33100,33100,33100,33100,33100,27100,33100,40500
mutual funds,60500,60500,49500,49500,49500,40500,49500,60500,60500,60500,60500,60500,74000,74000,60500,49500,49500,49500,49500,60500,49500,49500,60500,60500
laundry,40500,40500,40500,40500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,60500,60500,60500,60500,60500,60500,60500,74000,74000,74000
coal,49500,49500,49500,27100,22200,22200,40500,49500,60500,90500,49500,49500,49500,49500,49500,27100,27100,27100,40500,49500,60500,90500,49500,49500
office furniture,60500,60500,49500,49500,60500,60500,60500,60500,60500,60500,74000,60500,74000,60500,60500,60500,60500,74000,60500,60500,60500,60500,74000,60500
Hydrogen,60500,60500,60500,33100,18100,27100,74000,90500,60500,49500,60500,60500,60500,49500,49500,27100,22200,27100,74000,90500,60500,49500,74000,60500
hunting,40500,40500,33100,27100,33100,40500,49500,60500,60500,60500,49500,40500,40500,40500,33100,27100,33100,49500,90500,90500,110000,90500,74000,90500
grocery store,74000,74000,90500,110000,110000,90500,74000,74000,74000,60500,60500,60500,74000,74000,90500,110000,135000,135000,110000,110000,110000,165000,135000,135000
branding,18100,18100,18100,18100,14800,14800,18100,22200,18100,14800,18100,18100,22200,22200,18100,18100,14800,18100,18100,22200,18100,14800,18100,22200
dolls,27100,22200,22200,22200,27100,27100,27100,40500,40500,49500,33100,27100,27100,27100,27100,27100,33100,40500,40500,49500,60500,60500,40500,40500
uranium,40500,40500,49500,22200,18100,27100,60500,60500,49500,49500,60500,49500,49500,60500,49500,27100,33100,33100,60500,60500,60500,49500,49500,49500
birth control,74000,90500,90500,74000,90500,74000,74000,90500,90500,90500,90500,90500,90500,110000,110000,110000,110000,90500,90500,90500,90500,90500,110000,110000
tobacco,60500,60500,60500,40500,40500,40500,60500,60500,60500,60500,49500,49500,60500,60500,60500,40500,40500,49500,60500,60500,60500,60500,60500,60500
gaming,18100,18100,18100,18100,18100,22200,22200,22200,22200,27100,27100,27100,27100,27100,27100,27100,27100,33100,33100,27100,33100,33100,40500,33100
biotechnology,40500,40500,40500,22200,18100,27100,40500,33100,33100,27100,40500,40500,40500,40500,40500,22200,22200,33100,40500,33100,33100,27100,40500,40500
commercial real estate,49500,49500,49500,49500,49500,49500,60500,60500,60500,60500,74000,60500,74000,49500,49500,49500,49500,49500,40500,60500,60500,60500,74000,49500
car dealerships,74000,60500,60500,60500,60500,60500,60500,60500,74000,74000,90500,110000,110000,90500,90500,90500,110000,110000,90500,90500,90500,74000,110000,135000
welding,40500,40500,40500,33100,33100,40500,40500,49500,40500,40500,49500,40500,49500,49500,49500,40500,40500,49500,49500,49500,49500,49500,60500,60500
rubber,27100,22200,22200,22200,22200,22200,22200,27100,22200,22200,27100,22200,27100,27100,27100,22200,22200,22200,27100,27100,27100,22200,27100,27100
landscaping,74000,90500,90500,74000,60500,49500,49500,40500,33100,27100,40500,40500,74000,110000,110000,90500,74000,60500,60500,49500,40500,33100,49500,60500
musical instruments,22200,18100,18100,14800,14800,18100,22200,18100,22200,22200,18100,18100,18100,18100,18100,14800,14800,18100,22200,22200,22200,27100,22200,27100
leisure,27100,27100,27100,22200,22200,27100,33100,33100,27100,27100,33100,33100,33100,33100,33100,27100,27100,27100,33100,33100,33100,33100,40500,40500
LNG,33100,33100,27100,27100,27100,22200,27100,33100,22200,22200,22200,18100,22200,22200,18100,18100,18100,22200,22200,22200,18100,22200,22200,27100
cruise lines,90500,74000,60500,49500,60500,40500,40500,40500,40500,49500,90500,74000,90500,90500,90500,90500,90500,90500,74000,74000,74000,90500,165000,110000
fur,22200,22200,22200,18100,18100,22200,22200,27100,27100,27100,27100,27100,27100,27100,22200,22200,22200,22200,27100,27100,33100,33100,33100,27100
